檔案名稱,編號,漢字,拼音,詞性,英文定義
B1-L06.pptx,I-3,在,zài,Vst,to be located at
B1-L06.pptx,I-4,山上,shānshàng,N,"on a mountain, in the mountains"
B1-L06.pptx,I-5,哪裡,nǎlǐ,N,where
B1-L06.pptx,I-6,遠,yuǎn,Vs,far
B1-L06.pptx,I-7,那裡,nàlǐ,N,"that place, there"
B1-L06.pptx,I-8,風景,fēngjǐng,N,"scenery, landscapes"
B1-L06.pptx,I-9,美,měi,Vs,beautiful
B1-L06.pptx,I-10,前面,qiánmiàn,N,front
B1-L06.pptx,I-11,海,hǎi,N,ocean
B1-L06.pptx,I-12,後面,hòumiàn,N,back
B1-L06.pptx,I-13,山,shān,N,mountain
B1-L06.pptx,I-14,真的,zhēn	de,Adv,"really, truly"
B1-L06.pptx,I-15,地方,dìfāng,N,place
B1-L06.pptx,I-16,現在,xiànzài,N,now
B1-L06.pptx,I-17,附近,fùjìn,N,"vicinity, near"
B1-L06.pptx,I-18,樓下,lóuxià,N,downstairs
B1-L06.pptx,I-19,找,zhǎo,V,"to meet, to see"
B1-L06.pptx,I-20,朋友,péngyǒu,N,friend
B1-L06.pptx,I-21,上課,shàngkè,,(V-sep) to go to class
B1-L06.pptx,I-22,花蓮,Huālián,,name of a city on the eastern coast of Taiwan
B1-L06.pptx,I-23,聽說,tīngshuō,,hear that
B1-L06.pptx,II-1,近,jìn,Vs,near
B1-L06.pptx,II-2,方便,fāngbiàn,Vs,convenient
B1-L06.pptx,II-3,這裡,zhèlǐ,N,"here, this place"
B1-L06.pptx,II-4,學生,xuéshēng,N,student
B1-L06.pptx,II-5,在,zài,Prep,at
B1-L06.pptx,II-6,東西,dōngxi,N,"things, stuff"
B1-L06.pptx,II-7,外面,wàimiàn,N,outside
B1-L06.pptx,II-8,裡面,lǐmiàn,N,inside
B1-L06.pptx,II-9,商店,shāngdiàn,N,"store, shop"
B1-L06.pptx,II-10,吃飯,chīfàn,,(V-sep) to have a meal
B1-L06.pptx,II-11,宿舍,sùshè,N,dormitory
B1-L06.pptx,II-12,樓,lóu,N,"a storey, a floor"
B1-L06.pptx,II-13,棟,dòng,M,measure word for buildings
B1-L06.pptx,II-14,大樓,dàlóu,N,a multi-storey building
B1-L06.pptx,II-15,圖書館,túshūguǎn,N,library
B1-L06.pptx,II-16,旁邊,pángbiān,N,"(by the) side, next to"
B1-L06.pptx,II-17,教室,jiàoshì,N,classroom
B1-L06.pptx,II-18,游泳池,yóuyǒngchí,N,swimming pool
B1-L07.pptx,I-1,點,diǎn,M,o'clock
B1-L07.pptx,I-2,,,N,KTV; Karaoke
B1-L07.pptx,I-3,唱歌,chànggē,,(V-sep) to sing
B1-L07.pptx,I-4,分,fēn,M,minute
B1-L07.pptx,I-5,見面,jiànmiàn,,(V-sep) meet
B1-L07.pptx,I-6,從,cóng,Prep,from
B1-L07.pptx,I-7,中午,zhōngwǔ,N,noon
B1-L07.pptx,I-8,得,děi,Vaux,"to have to, must"
B1-L07.pptx,I-9,銀行,yínháng,N,bank
B1-L07.pptx,I-10,時候,shíhòu,N,when
B1-L07.pptx,I-11,後天,hòutiān,N,the day after tomorrow
B1-L07.pptx,I-12,大安,Dà’ān,,"Daan (name of a KTV named after a; district in Taipei, where Shida is also; located.)"
B1-L07.pptx,I-13,下次,xiàcì,,next time
B1-L07.pptx,I-14,沒問題,méi	wèntí,,No problem.
B1-L07.pptx,I-15,對了,duìle,,by the way
B1-L07.pptx,I-16,有空,yǒu	kòng,,to have free time
B1-L07.pptx,I-17,再見,zàijiàn,,goodbye.
B1-L07.pptx,II-1,在,zài,Vs,progressive aspect verb; in the process of doing something
B1-L07.pptx,II-2,午餐,wǔcān,N,lunch
B1-L07.pptx,II-3,剛,gāng,Adv,just now
B1-L07.pptx,II-4,下課,xiàkè,,(V-sep) to finish class
B1-L07.pptx,II-5,下午,xiàwǔ,N,afternoon
B1-L07.pptx,II-6,半,bàn,N,half
B1-L07.pptx,II-7,比賽,bǐsài,N,"game, competition"
B1-L07.pptx,II-8,結束,jiéshù,Vp,to finish
B1-L07.pptx,II-9,最近,zuìjìn,N,"recently, lately"
B1-L07.pptx,II-10,忙,máng,Vs,busy
B1-L07.pptx,II-11,每,měi,Det,"every, each"
B1-L07.pptx,II-12,天,tiān,M,Measure word for day
B1-L07.pptx,II-13,書法,shūfǎ,N,calligraphy
B1-L07.pptx,II-14,課,kè,N,class
B1-L07.pptx,II-15,開始,kāishǐ,Vp,"to begin, to start"
B1-L07.pptx,II-16,字,zì,N,character
B1-L07.pptx,II-17,寫,xiě,V,to write
B1-L07.pptx,II-18,可以,kěyǐ,Vaux,may
B1-L07.pptx,II-19,問,wèn,V,to ask
B1-L07.pptx,II-20,等一下,děng	yíxià,,later
B1-L07.pptx,II-21,有事,yǒu	shì,,to be busy; to be engaged
B1-L07.pptx,II-22,有意思,yǒu	yìsi,,"to be interesting, to be fun"
B1-L08.pptx,I-1,坐,zuò,V,"to take by, to travel by"
B1-L08.pptx,I-2,火車,huǒchē,N,train
